year,V75_original,V154_dated_VX
2004,,0.0
2005,,-0.003528316008979404
2006,,-6.832311902893462e-05
2007,,0.007403260106707776
2008,,0.1971787346660494
2009,,0.0
2010,,-0.00788412319266718
2011,,0.07398651770987241
2012,,0.0
2013,,0.0
2014,,-0.026713200963296324
2015,,-0.012326048118696531
2016,,-0.034770776135020665
2017,,0.0
2018,,0.1384196255385719
2019,,-0.015006199319981262
2020,,0.1732017845362528
2021,1.044015828086435,-0.0310119386654768
2022,0.01081155462862804,-0.038355355324945495
2023,0.1485191407183737,0.0
2024,0.4195522030251728,-0.10282033061986551
2025,0.23816495433729012,0.028436189703273218
2026,0.04425555083890087,-0.046448609019285714
